en_us,zh_tw,
Application Settings,應用程式設定,
Marketing Channel,行銷通路,
Product Category,商品種類,
Region,地區,
Date Range,日期範圍,
Time Scale,時間尺度,
Year,年,
Quarter,季,
Month,月,
Customer Segment,顧客區隔,
Recency (R),最近購買（R）,
Data Aggregation Level,資料彙總層級,
Enable Comparison,啟用比較,
Comparison Type,比較類型,
Year-over-Year Comparison,同期比較,
Period-over-Period Comparison,上期比較,
Target Comparison,目標比較,
Channel,通路,
Select Campaign,選擇活動,
Create Campaign,建立新活動,
Target Audience,目標客群,
Apply Filters,套用篩選條件,
Micro Analysis,微觀分析,
Macro Analysis,宏觀分析,
Targeted Marketing,目標行銷,
AI Martech Platform,AI行銷科技平台,
Marketing Channels,行銷通路,
Macro analysis modules will appear here.,宏觀分析模組將放置於此處。,
Targeted marketing modules will appear here.,目標行銷模組將放置於此處。,
Customer Lookup (by ID or Name),顧客搜尋,
Enter customer ID or name,輸入顧客 ID 或名稱,
Position Table Analysis,品牌定位分析,
Position Table Filters,品牌定位篩選,
Brand,品牌,
ASIN,品號,
Show ideal values,顯示理想值,
Reset Filters,重置篩選,
Position Analysis,定位分析,
Compare and analyze position metrics,比較並分析各品牌與產品的定位指標,
Position Table,品牌定位表,
asin,品號,
brand,品牌,
ranking,排名,
searches,搜尋量,
traffic,流量,
conversion,轉換率,
rating,評分,
sales,銷售額,
price,價格,
reviews,評論數,
position,位置,
page,頁數,
sponsored,廣告,
organic,自然,
Ready to filter data,準備篩選資料,
Loading data...,載入資料中...,
Computing results...,運算結果中...,
Error loading data,載入資料錯誤,
Export to Excel,匯出至Excel,
Position Data,品牌定位資料,
No brands available,沒有可用的品牌,
No ASINs available,沒有可用的品號,
No data available,沒有可用的資料,
Ideal,理想值,
Platform,平台,
Product line,產品線,
AI Marketing Platform,AI行銷平台,
Risk Distribution,風險分佈,
Stability Distribution,穩定度分佈,
Value Distribution,價值分佈,
R×S Heatmap (color = V),R×S 熱力圖（色彩 = V）,
Customer Detail,顧客明細,
Download CSV,下載 CSV,
No Data,無資料,
High Risk Customers,高風險顧客,
High Stability Customers,高穩定顧客,
High Value Customers,高價值顧客,
Stability,穩定度,
Risk,風險,
Please run ETL pipeline first,請先執行 ETL 資料管線,
Filter Strategy,篩選策略,
Strategy Distribution,策略分佈,
Marketing Decision Detail,行銷決策明細,
Awakening/Return,喚醒/回流,
New Customer Onboarding,新客培養,
Standard + Low-cost Nurturing,標準+低成本培養,
VIP + Premium,VIP+尊榮,
Customer Count,顧客數,
customers,位顧客,
Marketing Strategy,行銷策略,
Customer Status,顧客動態,
Dormancy Risk,靜止風險,
Customer Tag Preview (top 1000),顧客標籤預覽（前1000筆）,
Download Full CSV,下載完整 CSV,
Column Description,欄位說明,
Total Customers,總顧客數,
Available Tags,可用標籤數,
Avg CLV,平均顧客終生價值,
Avg RFM,平均顧客價值,
ID,客戶ID,
Value,價值,
Type,客戶類型,
Strategy,策略,
NES,顧客動態,
CAI,活躍度,
CLV_Level,價值等級,
Purpose,行銷目的,
Action,行銷建議,
Diamond Customer,金鑽客戶,
Growing Loyal Customer,成長忠誠客,
Quality Potential Customer,優質潛力客,
Stable Base Customer,穩定基礎客,
High-Value New Customer,高價值新客,
Regular New Customer,普通新客,
Marginal Observer,邊緣觀望客,
Loyal Low-Spend Customer,忠誠低消客,
Silent VIP,沉靜貴客,
At-Risk Loyal Customer,流失風險忠誠客,
Downgraded Loyal Customer,降級忠誠客,
Alert High-Value Customer,警示高價客,
Potential Group,潛力群體,
Undeveloped Group,待開發群體,
Unstable High-Value Customer,不穩定高價客,
Unstable Regular Customer,不穩定普通客,
Low-Activity Marginal Customer,低活躍邊緣客,
Lost Diamond Customer,流失金鑽客,
At-Risk Core Customer,風險核心客,
Lost Loyal Customer,流失忠誠客,
